Name,Country,Position,Height,Age ,Appearance,Total Points
Manny Edmonds,Australia,Back,182,21,2,23
Marika Koroibete,Australia,Back,180,24,8,20
Nathan Grey,Australia,Back,185,23,35,25
Nick Frisby,Australia,Back,184,24,4,0
Matt Giteau,Australia,Back,178,20,103,698
Christian Lealiifano,Australia,Back,179,25,19,124
Mat Rogers,Australia,Back,182,26,45,163
Julian Huxley,Australia,Back,186,27,9,22
Luke Burgess,Australia,Back,179,24,37,5
Lote Tuqiri,Australia,Back,191,23,67,150
Nathan Spooner,Australia,Back,181,23,2,25
Scott Staniforth,Australia,Back,188,21,12,35
Adam Ashley-Cooper,Australia,Back,185,21,116,185
Bernard Foley,Australia,Back,182,24,55,543
Quade Cooper,Australia,Back,186,20,70,154
Graeme Bond,Australia,Back,180,27,5,5
Chris Feauai-Sautia,Australia,Back,181,20,2,10
Nick Cummins,Australia,Back,189,25,15,30
Augustine Pulu,NZ,Back,180,25,2,0
Adrian Cashmore,NZ,Back,183,21,2,0
Ben Smith,NZ,Back,186,22,64,145
Rudi Wulf,NZ,Back,182,24,4,0
Israel Dagg,NZ,Back,196,21,66,138
Joeli Vidiri,NZ,Back,190,24,2,5
Kevin Senio,NZ,Back,178,27,1,0
Paul Steinmetz,NZ,Back,176,25,1,0
Waisake Naholo,NZ,Back,186,24,13,30
Sitiveni Sivivatu,NZ,Back,185,23,46,145
Norm Berryman,NZ,Back,180,25,1,0
Mark Robinson,NZ,Back,184,26,9,5
Brad Weber,NZ,Back,172,24,1,0
Tamati Ellison,NZ,Back,184,26,5,0
Andrew Mehrtens,NZ,Back,178,22,72,994
Anthony Tuitavake,NZ,Back,182,26,7,5
Lelia Masaga,NZ,Back,180,23,1,0
Nehe Milner-Skudder,NZ,Back,180,25,10,55
Nic Henderson,Australia,Forward,180,23,3,0
Jim Williams,Australia,Forward,193,30,14,10
Brett Robinson,Australia,Forward,188,26,16,5
James Hanson,Australia,Forward,181,23,12,0
Rob Simmons,Australia,Forward,200,21,82,15
Tetera Faulkner,Australia,Forward,178,26,4,0
Matt Dunning,Australia,Forward,182,24,45,0
Liam Gill,Australia,Forward,184,20,15,0
Matt Cockbain,Australia,Forward,197,25,63,5
John Langford,Australia,Forward,201,28,4,0
Glenn Panoho,Australia,Forward,186,27,21,0
Sean McMahon,Australia,Forward,186,20,26,15
Ned Hanigan,Australia,Forward,194,22,12,0
Lopeti Timani,Australia,Forward,196,25,12,5
Luke Jones,Australia,Forward,196,23,3,0
Ben McCalman,Australia,Forward,192,22,53,20
Andrew Heath,Australia,Forward,186,26,8,0
Owen Finegan,Australia,Forward,197,24,56,56
Sean Hardman,Australia,Forward,183,25,4,0
Josh Kronfeld,NZ,Forward,185,23,56,80
Dominic Bird,NZ,Forward,206,22,2,0
Andrew Hore,NZ,Forward,183,23,83,40
Sam Broomhall,NZ,Forward,193,25,4,0
Gordon Slater,NZ,Forward,188,26,6,5
John Schwalger,NZ,Forward,187,24,2,5
Taine Randell,NZ,Forward,188,22,61,60
Ben Afeaki,NZ,Forward,193,25,1,0
Andrew Blowers,NZ,Forward,193,21,18,5
Tanerau Latimer,NZ,Forward,186,23,6,0
Clarke Dermody,NZ,Forward,183,26,3,5
Joe McDonnell,NZ,Forward,175,29,8,5
Victor Vito,NZ,Forward,192,23,33,20
Anton Oliver,NZ,Forward,184,21,67,25
Charlie Faumuina,NZ,Forward,185,26,50,20
